Longitude,Latitude,Decennial Population Count
-73.9997638,40.7511527,0
-74.0036153,40.7560447,0
-73.999669,40.7577207,0
-74.0062053,40.7522399,0
-74.0058322,40.752895,0
-73.9510206,40.7871985,822
-73.9538391,40.7833367,328
-73.953379,40.7839631,585
-73.950854,40.7845412,757
-73.9516836,40.7799662,1310
-73.9491909,40.7897139,451
-73.9484914,40.787776,590
-73.9414967,40.7897867,843
-73.9449546,40.7850547,10
-73.9442754,40.7859912,850
-73.9587607,40.7590955,0
-73.9870048,40.7803418,304
-73.966679,40.817327,0
-73.9186753,40.8606426,0
-73.9490753,40.7619053,1965
-73.9634094,40.7638977,1558
-73.9620164,40.7616726,855
-73.9652851,40.7571943,1287
-73.96465,40.7594784,523
-73.9634379,40.7555991,1960
-73.959279,40.7654285,0
-73.9560682,40.7659098,311
-73.9610787,40.7588264,1309
-73.9524577,40.8037482,14
-73.953329,40.8006005,560
-73.9455072,40.8023834,121
-73.952302,40.7986953,18
-73.9510362,40.7929532,408
-73.9467474,40.8045471,275
-73.9442983,40.7992998,495
-73.9602164,40.8194313,0
-73.9354331,40.8144099,0
-73.9575208,40.7840687,142
-73.9593686,40.7815346,734
-73.9579516,40.7811716,70
-73.9556703,40.7808273,1004
-73.9776191,40.7764716,1833
-73.9799287,40.7733212,405
-73.9808822,40.7720776,1207
-73.9783707,40.76526,764
-73.9776696,40.7607797,10
-73.9751822,40.7648052,661
-73.9970585,40.7691252,0
-73.9567527,40.8221245,60
-73.931761,40.8573992,726
-73.9461374,40.7792793,1148
-73.9503798,40.8036135,683
-73.9516936,40.8007755,768
-73.9501546,40.7984713,596
-73.9494797,40.7968458,0
-73.9491775,40.7926145,768
-73.9459115,40.7999752,590
-73.9486777,40.7962048,643
-73.9629498,40.8067588,1970
-74.0084694,40.7595149,0
-73.9645806,40.7743887,267
-73.9648786,40.7711022,332
-73.9676398,40.7673172,370
-73.9653537,40.7704484,324
-73.9634382,40.7730765,225
-73.9632641,40.7704222,560
-73.9646559,40.7685149,0
-73.9789056,40.7547535,39
-73.9766227,40.7578853,0
-73.9759286,40.7559542,5
-73.9724387,40.7636221,0
-73.9708345,40.7629383,208
-73.9694642,40.7648143,189
-73.969222,40.7622572,45
-73.973646,40.7590862,0
-73.9734001,40.7565256,7
-73.9386507,40.7894525,41
-73.9387684,40.78702,0
-73.9416582,40.7843393,0
-73.9879695,40.7799619,0
-73.955033,40.7788177,1136
-73.9535932,40.7773497,916
-73.9380636,40.8150346,1388
-73.9376005,40.8156687,1016
-73.9352712,40.8147725,490
-73.9362275,40.8134075,1723
-73.9389162,40.809555,16
-73.9398262,40.8083067,402
-73.9402827,40.8076844,231
-73.9384499,40.8101912,492
-73.9400968,40.80506,85
-73.9350152,40.8110533,0
-73.9372998,40.8088764,354
-73.9386685,40.8070043,0
-73.9391235,40.806382,168
-73.9361433,40.8075701,366
-73.9365991,40.806947,488
-73.9379816,40.8050518,122
-73.9370522,40.8063231,524
-73.9342976,40.8089806,0
-73.9356912,40.8081992,817
-73.9335124,40.8058625,55
-73.9354292,40.80565,0
-73.9346528,40.8072881,0
-73.970026,40.8009608,909
-73.9686915,40.8003849,769
-73.9690606,40.7997271,695
-73.9742938,40.794422,297
-73.9753358,40.7940505,1434
-73.9685195,40.79786,903
-73.9727451,40.7946158,257
-73.9756188,40.7933435,1008
-73.9736777,40.7933387,637
-73.9741348,40.7927105,1139
-73.9738087,40.79594,966
-73.9731639,40.7965335,663
-73.9724509,40.7978788,1107
-73.9727869,40.797207,951
-73.9719817,40.798492,995
-73.9704001,40.7978298,409
-73.9708602,40.7972073,874
-73.9713167,40.7965785,771
-73.9689764,40.7972384,894
-73.9708293,40.7946916,297
-73.9713243,40.7940155,732
-73.9717987,40.7933665,412
-73.9691914,40.7931177,1536
-73.9722559,40.7927397,855
-73.9696662,40.792471,1229
-73.9793716,40.7857258,525
-73.976916,40.7889313,649
-73.9774431,40.7882656,623
-73.9803427,40.7869735,798
-73.9806354,40.786268,780
-73.9778795,40.7910021,1051
-73.977217,40.7915314,866
-73.976578,40.7920934,530
-73.9750495,40.7914548,402
-73.9765364,40.787017,665
-73.9750045,40.7889737,799
-73.9730897,40.7647301,0
-73.9088727,40.8752517,0
-73.9779912,40.756005,0
-73.9735515,40.7641144,14
-73.9710711,40.7654925,326
-73.9713091,40.762287,79
-73.9741018,40.7584605,0
-73.9743148,40.7552733,0
-73.971789,40.7558461,98
-73.955127,40.8022017,1246
-73.9522454,40.7649042,0
-73.9578366,40.759906,0
-73.9295525,40.799388,0
-73.9650805,40.7898657,0
-73.9317992,40.8032784,0
-73.9437137,40.8214898,473
-73.9402506,40.8225724,1384
-73.9350972,40.8274222,0
-73.9790218,40.7796452,1232
-73.9743242,40.7860865,289
-73.9727133,40.7921115,656
-73.9695745,40.7875083,760
-73.934404,40.8214901,0
-73.934514,40.8109997,0
-73.9347432,40.8159265,654
-73.9407365,40.8070613,480
-73.9382141,40.8076273,513
-73.9375077,40.8056997,615
-73.9353529,40.8091279,408
-73.9315866,40.8039733,31
-73.9694872,40.7990893,885
-73.9735559,40.794111,337
-73.9722526,40.7952903,1139
-73.9699392,40.7984564,482
-73.9694262,40.79661,468
-73.9677483,40.795099,2378
-73.9788583,40.7897481,2235
-73.9784379,40.7869945,360
-73.9759656,40.7901998,710
-73.9803218,40.7844373,300
-73.9802209,40.781822,537
-73.9542557,40.8265913,0
-73.9394167,40.8271429,551
-73.9569963,40.8158323,0
-73.9946573,40.7564603,165
-73.9994312,40.7559651,18
-73.9966998,40.7588585,844
-73.9951589,40.7632395,438
-73.9534607,40.7942326,5
-73.969818,40.7828181,7
-73.9745646,40.7670877,0
-73.9569365,40.7579128,0
-73.974771,40.7546485,0
-73.9711181,40.7596554,327
-73.9541058,40.7644953,16
-73.9313306,40.7955791,502
-73.9496383,40.770743,1087
-73.9348354,40.8109821,0
-73.9401924,40.8175664,592
